Date	DATE_KEY	Month	Year	Weekday	Weekday No	Day of Month	Month of Year	Quarter	Week of Month	Week of Year	Month No
03/01/2018 12:00:00 AM	20180103	Jan	2018	Wednesday	3	3	Monday, January 1, 2018	1	1	1	1
04/01/2018 12:00:00 AM	20180104	Jan	2018	Thursday	4	4	Monday, January 1, 2018	1	1	1	1
05/01/2018 12:00:00 AM	20180105	Jan	2018	Friday	5	5	Monday, January 1, 2018	1	1	1	1
06/01/2018 12:00:00 AM	20180106	Jan	2018	Saturday	6	6	Monday, January 1, 2018	1	1	1	1
07/01/2018 12:00:00 AM	20180107	Jan	2018	Sunday	7	7	Monday, January 1, 2018	1	1	1	1
08/01/2018 12:00:00 AM	20180108	Jan	2018	Monday	1	8	Monday, January 1, 2018	1	2	2	1
09/01/2018 12:00:00 AM	20180109	Jan	2018	Tuesday	2	9	Monday, January 1, 2018	1	2	2	1
10/01/2018 12:00:00 AM	20180110	Jan	2018	Wednesday	3	10	Monday, January 1, 2018	1	2	2	1
11/01/2018 12:00:00 AM	20180111	Jan	2018	Thursday	4	11	Monday, January 1, 2018	1	2	2	1
12/01/2018 12:00:00 AM	20180112	Jan	2018	Friday	5	12	Monday, January 1, 2018	1	2	2	1
13/01/2018 12:00:00 AM	20180113	Jan	2018	Saturday	6	13	Monday, January 1, 2018	1	2	2	1
14/01/2018 12:00:00 AM	20180114	Jan	2018	Sunday	7	14	Monday, January 1, 2018	1	2	2	1
15/01/2018 12:00:00 AM	20180115	Jan	2018	Monday	1	15	Monday, January 1, 2018	1	3	3	1
16/01/2018 12:00:00 AM	20180116	Jan	2018	Tuesday	2	16	Monday, January 1, 2018	1	3	3	1
17/01/2018 12:00:00 AM	20180117	Jan	2018	Wednesday	3	17	Monday, January 1, 2018	1	3	3	1
18/01/2018 12:00:00 AM	20180118	Jan	2018	Thursday	4	18	Monday, January 1, 2018	1	3	3	1
19/01/2018 12:00:00 AM	20180119	Jan	2018	Friday	5	19	Monday, January 1, 2018	1	3	3	1
20/01/2018 12:00:00 AM	20180120	Jan	2018	Saturday	6	20	Monday, January 1, 2018	1	3	3	1
21/01/2018 12:00:00 AM	20180121	Jan	2018	Sunday	7	21	Monday, January 1, 2018	1	3	3	1
22/01/2018 12:00:00 AM	20180122	Jan	2018	Monday	1	22	Monday, January 1, 2018	1	4	4	1
